pipeline_name,pipeline_url,pipeline_description,pipeline_language,pipeline_ownership,pipeline_keywords
Spriggan,https://github.com/wslh-bio/spriggan,Spriggan is a pipeline used for assembly of bacterial whole genome sequence data and identification of antibiotic resistance genes.,Nextflow,Wisconsin State Laboratory of Hygiene,"HAI/AR, AR, Bacterial, Genome Assembly, MLST"
Dryad,https://github.com/wslh-bio/dryad,Dryad is a Nextflow pipeline for examining prokaryote relatedness. Dryad can perform a reference free analysis and/or SNP analysis.,Nextflow,Wisconsin State Laboratory of Hygiene,"Outbreak Investigation, Bacterial Relatedness, SNP, Phylogenetic Trees, Phylogenomics, Prokaryote Relatedness, Core genome"
Cecret,https://github.com/UPHL-BioNGS/Cecret,A Nextflow workflow for reference-based amplicon consensus generation for SARS-CoV-2 and other organisms.,Nextflow,Utah Public Health Laboratory,"SARS-CoV-2, Viral, Amplicon, Consensus, Sequencing, Reference-based, Monkeypox, Wastewater"
Grandeur,https://github.com/UPHL-BioNGS/Grandeur,A species agnostic sequencing analysis workflow for paired-end Illumina sequencing quality control and serotyping of prokaryotes.,Nextflow,Utah Public Health Laboratory,"Prokaryotes, Bacterial, QC, Serotyping, Illumina, Phylogenetic Analysis, Core genome, AMR"
Walkercreek,https://github.com/UPHL-BioNGS/walkercreek,A bioinformatics pipeline designed for the assembly and classification of Illumina and Nanopore influenza and RSV data using IRMA.,Nextflow,Utah Public Health Laboratory,"Influenza, RSV, Viral, Assembly, Clade Assignment, Nextclade, Nanopore, Illumina, Wastewater"
Donut Falls,https://github.com/UPHL-BioNGS/Donut_Falls,A Nextflow workflow for long-read nanopore sequencing de novo assembly and polishing of microbial isolates.,Nextflow,Utah Public Health Laboratory,"Nanopore, De novo assembly, Polishing, Microbial, Long-read, Flye, Unicycler"
PHoeNIx,https://github.com/CDCgov/phoenix,A standardized Nextflow pipeline for genomic surveillance of healthcare-associated bacterial pathogens with focus on antimicrobial resistance.,Nextflow,Centers for Disease Control and Prevention,"Bacterial, HAI, AR, AMR, QC, Assembly, MLST, Plasmids, Healthcare-associated pathogens"
MycoSNP,https://github.com/CDCgov/mycosnp-nf,A bioinformatics pipeline for whole genome sequencing analysis of fungal organisms including reference-based SNP calling and tree building.,Nextflow,Centers for Disease Control and Prevention,"Fungal, WGS, SNP calling, Phylogenetic tree, Candida auris, Antifungal resistance, De novo assembly"
IRMA,https://github.com/CDCgov/irma,A highly configurable next-generation sequencing assembly pipeline for virus genomes using iterative refinement and adaptive reference editing.,Perl/Bash/R,Centers for Disease Control and Prevention,"Viral, Assembly, Influenza, RNA viruses, Adaptive assembly, Variant calling, Phasing"
MIRA,https://github.com/CDCgov/MIRA,An interactive dashboard for high-quality influenza and SARS-CoV-2 and RSV genome assembly annotation and curation using IRMA.,Python,Centers for Disease Control and Prevention,"Influenza, SARS-CoV-2, RSV, Viral, GUI, Interactive dashboard, Genome curation, Quality control"
TaxTriage,https://github.com/jhuapl-bio/taxtriage,A Nextflow pipeline for metagenomic sequencing analysis to identify pathogens in complex samples using taxonomic classification and confidence metrics.,Nextflow,Johns Hopkins University Applied Physics Laboratory,"Metagenomics, Pathogen detection, Taxonomy, Classification, Kraken2, Illumina, Nanopore, Clinical diagnostics"
